U	c1	c2	JFP
3.87755102	0.989795918	-0.6	1.618061926
3.367346939	0.87755102	-0.563265306	1.618479094
3.367346939	0.87755102	-0.575510204	1.619771656
3.571428571	0.857142857	-0.53877551	1.619994277
4.591836735	0.836734694	-0.47755102	1.623869301
3.87755102	0.979591837	-0.587755102	1.624036665
3.775510204	0.948979592	-0.6	1.624213466
3.775510204	0.918367347	-0.551020408	1.624692889
3.673469388	0.87755102	-0.53877551	1.627243559
3.571428571	1	-0.575510204	1.628221884
3.673469388	0.908163265	-0.587755102	1.629881521
4.795918367	0.928571429	-0.551020408	1.630236917
3.469387755	0.887755102	-0.53877551	1.630740006
3.367346939	0.928571429	-0.563265306	1.631901078
